id,district,pincode,state
52,ANANTAPUR,515631,"ANDHRA PRADESH"
53,ANANTAPUR,515581,"ANDHRA PRADESH"
54,ANANTAPUR,515571,"ANDHRA PRADESH"
55,ANANTAPUR,515311,"ANDHRA PRADESH"
56,ANANTAPUR,515281,"ANDHRA PRADESH"
57,ANANTAPUR,515241,"ANDHRA PRADESH"
58,"WEST GODAVARI",534176,"ANDHRA PRADESH"
59,BANKA,813105,BIHAR
60,BHAGALPUR,813203,BIHAR
61,BHAGALPUR,853202,BIHAR
62,BHAGALPUR,813222,BIHAR
63,BHAGALPUR,812005,BIHAR
64,BHAGALPUR,853203,BIHAR
65,BHAGALPUR,812006,BIHAR
66,MADHEPURA,853204,BIHAR
67,BHAGALPUR,813209,BIHAR
68,VISAKHAPATANAM,530052,"ANDHRA PRADESH"
69,ANANTAPUR,515871,"ANDHRA PRADESH"
70,ANANTAPUR,515842,"ANDHRA PRADESH"
71,ANANTAPUR,515803,"ANDHRA PRADESH"
72,ANANTAPUR,515775,"ANDHRA PRADESH"
73,ANANTAPUR,515405,"ANDHRA PRADESH"
74,ANANTAPUR,515865,"ANDHRA PRADESH"
75,ANANTAPUR,515455,"ANDHRA PRADESH"
76,ANANTAPUR,515611,"ANDHRA PRADESH"
77,ANANTAPUR,515867,"ANDHRA PRADESH"
78,ANANTAPUR,515812,"ANDHRA PRADESH"
79,ANANTAPUR,515832,"ANDHRA PRADESH"
80,ANANTAPUR,515870,"ANDHRA PRADESH"
81,VISAKHAPATANAM,531173,"ANDHRA PRADESH"
82,VISAKHAPATANAM,531219,"ANDHRA PRADESH"
83,BHAGALPUR,853205,BIHAR
84,BHAGALPUR,813210,BIHAR
85,BHAGALPUR,813108,BIHAR
86,BANKA,813212,BIHAR
87,ANANTAPUR,515101,"ANDHRA PRADESH"
88,NIZAMABAD,503186,TELANGANA
89,NIZAMABAD,503180,TELANGANA
90,KAMAREDDY,503187,TELANGANA
91,KAMAREDDY,503101,TELANGANA
92,KAMAREDDY,503125,TELANGANA
93,KAMAREDDY,503112,TELANGANA
94,BARMER,344704,RAJASTHAN
95,BARMER,344032,RAJASTHAN
96,JODHPUR,342002,RAJASTHAN
97,BARMER,344706,RAJASTHAN
98,KAMAREDDY,503124,TELANGANA
99,KAMAREDDY,503309,TELANGANA
100,KAMAREDDY,503108,TELANGANA
101,KAMAREDDY,503302,TELANGANA
102,NIZAMABAD,503201,TELANGANA
103,KAMAREDDY,503306,TELANGANA
104,KAMAREDDY,503123,TELANGANA
105,KAMAREDDY,503102,TELANGANA
106,Y.S.R.,516129,"ANDHRA PRADESH"
107,Y.S.R.,516237,"ANDHRA PRADESH"
108,Y.S.R.,516130,"ANDHRA PRADESH"
109,Y.S.R.,516151,"ANDHRA PRADESH"
110,PATIALA,147111,PUNJAB
111,HAILAKANDI,788162,ASSAM
112,HAILAKANDI,788150,ASSAM
113,HAILAKANDI,788801,ASSAM
114,HAILAKANDI,788161,ASSAM
115,HAILAKANDI,788152,ASSAM
116,HAILAKANDI,788155,ASSAM
117,"KANPUR NAGAR",208001,"UTTAR PRADESH"
118,KAMAREDDY,503310,TELANGANA
119,KAMAREDDY,503110,TELANGANA
120,KAMAREDDY,503145,TELANGANA
121,KAMAREDDY,503120,TELANGANA
122,NIZAMABAD,503235,TELANGANA
123,KAMAREDDY,503321,TELANGANA
124,NIZAMABAD,503185,TELANGANA
125,NIZAMABAD,503230,TELANGANA
126,NIZAMABAD,503202,TELANGANA
127,NIZAMABAD,503246,TELANGANA
128,KAMAREDDY,503305,TELANGANA
129,GORAKHPUR,273001,"UTTAR PRADESH"
130,PEDDAPALLI,505186,TELANGANA
131,PEDDAPALLI,505153,TELANGANA
132,PEDDAPALLI,505162,TELANGANA
133,PEDDAPALLI,505152,TELANGANA
134,PEDDAPALLI,505514,TELANGANA
135,PEDDAPALLI,505187,TELANGANA
136,PEDDAPALLI,505212,TELANGANA
137,PEDDAPALLI,505525,TELANGANA
138,PEDDAPALLI,505209,TELANGANA
139,PEDDAPALLI,505188,TELANGANA
140,KARIMNAGAR,505122,TELANGANA
141,KARIMNAGAR,505498,TELANGANA
142,"SPSR NELLORE",524324,"ANDHRA PRADESH"
143,"MEDCHAL MALKAJGIRI",501301,TELANGANA
144,"MEDCHAL MALKAJGIRI",500088,TELANGANA
145,"MEDCHAL MALKAJGIRI",500100,TELANGANA
146,"MEDCHAL MALKAJGIRI",501401,TELANGANA
147,VIKARABAD,501102,TELANGANA
148,"MEDCHAL MALKAJGIRI",500101,TELANGANA
149,"MEDCHAL MALKAJGIRI",500078,TELANGANA
150,"RANGA REDDY",501509,TELANGANA
151,"MEDCHAL MALKAJGIRI",500043,TELANGANA
152,"MEDCHAL MALKAJGIRI",500087,TELANGANA
153,"RANGA REDDY",501505,TELANGANA
154,"MEDCHAL MALKAJGIRI",500055,TELANGANA
155,BANKA,813207,BIHAR
156,BANKA,813110,BIHAR
157,BANKA,813109,BIHAR
158,BANKA,813107,BIHAR
159,BANKA,813211,BIHAR
160,GUNTUR,522658,"ANDHRA PRADESH"
161,GUNTUR,522614,"ANDHRA PRADESH"
162,BARMER,344011,RAJASTHAN
163,JODHPUR,342304,RAJASTHAN
164,MOGA,142049,PUNJAB
165,NIZAMABAD,503207,TELANGANA
166,BEGUSARAI,851210,BIHAR
167,BEGUSARAI,851127,BIHAR
168,"WEST GODAVARI",534239,"ANDHRA PRADESH"
169,"WEST GODAVARI",534237,"ANDHRA PRADESH"
170,"WEST GODAVARI",534247,"ANDHRA PRADESH"
171,"WEST GODAVARI",534202,"ANDHRA PRADESH"
172,"WEST GODAVARI",534243,"ANDHRA PRADESH"
173,"WEST GODAVARI",534199,"ANDHRA PRADESH"
174,BEGUSARAI,848201,BIHAR
175,"WEST GODAVARI",534134,"ANDHRA PRADESH"
176,SANGAREDDY,502293,TELANGANA
177,SANGAREDDY,502284,TELANGANA
178,BEGUSARAI,851113,BIHAR
179,BEGUSARAI,851111,BIHAR
180,BEGUSARAI,851112,BIHAR
181,KAMAREDDY,503301,TELANGANA
182,NIZAMABAD,503206,TELANGANA
183,NIZAMABAD,503245,TELANGANA
184,BIDAR,585447,KARNATAKA
185,BIDAR,585404,KARNATAKA
186,FARIDKOT,151214,PUNJAB
187,KAMAREDDY,503114,TELANGANA
188,KAMAREDDY,503144,TELANGANA
189,KAMAREDDY,503122,TELANGANA
190,KHAMMAM,507204,TELANGANA
191,KHAMMAM,507169,TELANGANA
192,KHAMMAM,507208,TELANGANA
193,KHAMMAM,507002,TELANGANA
194,KHAMMAM,507168,TELANGANA
195,KHAMMAM,507003,TELANGANA
196,KHAMMAM,507158,TELANGANA
197,KHAMMAM,507209,TELANGANA
198,KHAMMAM,507122,TELANGANA
199,BEGUSARAI,851120,BIHAR
200,BEGUSARAI,848204,BIHAR
201,BEGUSARAI,851204,BIHAR
202,BEGUSARAI,851211,BIHAR
203,SUPAUL,847451,BIHAR
204,BEGUSARAI,851128,BIHAR
205,SIDDIPET,502114,TELANGANA
206,"WEST GODAVARI",534238,"ANDHRA PRADESH"
207,"WEST GODAVARI",534240,"ANDHRA PRADESH"
208,"WEST GODAVARI",534206,"ANDHRA PRADESH"
209,"WEST GODAVARI",534210,"ANDHRA PRADESH"
210,Niwari,472445,"MADHYA PRADESH"
211,KHAGARIA,851213,BIHAR
212,KHAGARIA,851214,BIHAR
213,KHAGARIA,851201,BIHAR
214,ANANTAPUR,515231,"ANDHRA PRADESH"
215,ANANTAPUR,515271,"ANDHRA PRADESH"
216,ANANTAPUR,515164,"ANDHRA PRADESH"
217,ANANTAPUR,515212,"ANDHRA PRADESH"
218,ANANTAPUR,515303,"ANDHRA PRADESH"
219,ANANTAPUR,515556,"ANDHRA PRADESH"
220,ANANTAPUR,515661,"ANDHRA PRADESH"
221,ANANTAPUR,515672,"ANDHRA PRADESH"
222,ANANTAPUR,515521,"ANDHRA PRADESH"
223,"SOUTH SALMARA MANCACHAR",783135,ASSAM
224,BOKARO,827016,JHARKHAND
225,ANANTAPUR,515591,"ANDHRA PRADESH"
226,ANANTAPUR,515641,"ANDHRA PRADESH"
227,ANANTAPUR,515531,"ANDHRA PRADESH"
228,ANANTAPUR,515541,"ANDHRA PRADESH"
229,ANANTAPUR,515511,"ANDHRA PRADESH"
230,ANANTAPUR,515551,"ANDHRA PRADESH"
231,ANANTAPUR,515154,"ANDHRA PRADESH"
232,ANANTAPUR,515501,"ANDHRA PRADESH"
233,ANANTAPUR,515341,"ANDHRA PRADESH"
234,ANANTAPUR,515286,"ANDHRA PRADESH"
235,ANANTAPUR,515144,"ANDHRA PRADESH"
236,KARIMNAGAR,505129,TELANGANA
237,KARIMNAGAR,505470,TELANGANA
238,KARIMNAGAR,505505,TELANGANA
239,KARIMNAGAR,505474,TELANGANA
240,KARIMNAGAR,505475,TELANGANA
241,KARIMNAGAR,505502,TELANGANA
242,KARIMNAGAR,505490,TELANGANA
243,SIDDIPET,505472,TELANGANA
244,KARIMNAGAR,505101,TELANGANA
245,KARIMNAGAR,505480,TELANGANA
246,CUTTACK,754031,ODISHA
247,CUTTACK,754028,ODISHA
248,CUTTACK,754027,ODISHA
249,CUTTACK,754037,ODISHA
250,CUTTACK,754022,ODISHA
251,CUTTACK,754290,ODISHA
252,"WARANGAL URBAN",505497,TELANGANA
253,"WARANGAL URBAN",505102,TELANGANA
254,"WARANGAL URBAN",505471,TELANGANA
255,"WARANGAL URBAN",505476,TELANGANA
256,ANANTAPUR,515133,"ANDHRA PRADESH"
257,ANANTAPUR,515159,"ANDHRA PRADESH"
258,ANANTAPUR,515651,"ANDHRA PRADESH"
259,LUDHIANA,141114,PUNJAB
260,CHATRA,825103,JHARKHAND
261,RAMGARH,829143,JHARKHAND
262,AURANGABAD,824304,BIHAR
263,BHOJPUR,802204,BIHAR
264,BHOJPUR,802158,BIHAR
265,PRAKASAM,523264,"ANDHRA PRADESH"
266,PRAKASAM,523263,"ANDHRA PRADESH"
267,"SPSR NELLORE",524221,"ANDHRA PRADESH"
268,"SPSR NELLORE",524240,"ANDHRA PRADESH"
269,"SPSR NELLORE",524152,"ANDHRA PRADESH"
270,"SPSR NELLORE",524222,"ANDHRA PRADESH"
271,"SPSR NELLORE",524236,"ANDHRA PRADESH"
272,PRAKASAM,523262,"ANDHRA PRADESH"
273,"SPSR NELLORE",524223,"ANDHRA PRADESH"
274,"SPSR NELLORE",524224,"ANDHRA PRADESH"
275,"SPSR NELLORE",524239,"ANDHRA PRADESH"
276,"RANGA REDDY",501503,TELANGANA
277,VIKARABAD,501121,TELANGANA
278,VIKARABAD,501202,TELANGANA
279,VIKARABAD,501111,TELANGANA
280,VIKARABAD,501142,TELANGANA
281,VIKARABAD,501501,TELANGANA
282,"RANGA REDDY",501203,TELANGANA
283,VIKARABAD,501141,TELANGANA
284,BHAGALPUR,813213,BIHAR
285,PALAMU,822123,JHARKHAND
286,VISAKHAPATANAM,531084,"ANDHRA PRADESH"
287,VISAKHAPATANAM,531114,"ANDHRA PRADESH"
288,VISAKHAPATANAM,531022,"ANDHRA PRADESH"
289,PALAMU,822132,JHARKHAND
290,AMRAVATI,444602,MAHARASHTRA
291,VISAKHAPATANAM,531126,"ANDHRA PRADESH"
292,Y.S.R.,516329,"ANDHRA PRADESH"
293,Y.S.R.,516293,"ANDHRA PRADESH"
294,Y.S.R.,516321,"ANDHRA PRADESH"
295,VISAKHAPATANAM,531149,"ANDHRA PRADESH"
296,VIKARABAD,501144,TELANGANA
297,"RANGA REDDY",501504,TELANGANA
298,"SPSR NELLORE",524300,"ANDHRA PRADESH"
299,"SPSR NELLORE",524142,"ANDHRA PRADESH"
300,KHAGARIA,852161,BIHAR
301,"WEST GODAVARI",534208,"ANDHRA PRADESH"
302,"WEST GODAVARI",534204,"ANDHRA PRADESH"
303,"WEST GODAVARI",534207,"ANDHRA PRADESH"
304,BEGUSARAI,851118,BIHAR
305,HAILAKANDI,788163,ASSAM
306,HAILAKANDI,788165,ASSAM
307,KARIMGANJ,788734,ASSAM
308,KARIMGANJ,788736,ASSAM
309,KARIMGANJ,788737,ASSAM
310,KARIMGANJ,788166,ASSAM
311,KARIMGANJ,788735,ASSAM
312,KARIMGANJ,788156,ASSAM
313,"EAST GODAVARI",533274,"ANDHRA PRADESH"
314,"EAST GODAVARI",533253,"ANDHRA PRADESH"
315,"EAST GODAVARI",533250,"ANDHRA PRADESH"
316,"EAST GODAVARI",533247,"ANDHRA PRADESH"
317,"EAST GODAVARI",533229,"ANDHRA PRADESH"
318,"EAST GODAVARI",533248,"ANDHRA PRADESH"
319,"EAST GODAVARI",533238,"ANDHRA PRADESH"
320,"EAST GODAVARI",533236,"ANDHRA PRADESH"
321,"EAST GODAVARI",533251,"ANDHRA PRADESH"
322,"EAST GODAVARI",533244,"ANDHRA PRADESH"
323,"EAST GODAVARI",533249,"ANDHRA PRADESH"
324,ANANTAPUR,515445,"ANDHRA PRADESH"
325,ANANTAPUR,515002,"ANDHRA PRADESH"
326,HAZARIBAGH,825405,JHARKHAND
327,"EAST GODAVARI",533290,"ANDHRA PRADESH"
328,CUTTACK,754025,ODISHA
329,ROHTAS,802205,BIHAR
330,BARGARH,768033,ODISHA
331,KARIMGANJ,788806,ASSAM
332,KARIMGANJ,788723,ASSAM
333,KARIMGANJ,788733,ASSAM
334,KARIMGANJ,788701,ASSAM
335,KARIMGANJ,788725,ASSAM
336,KARIMGANJ,788726,ASSAM
337,KARIMGANJ,788728,ASSAM
338,PATIALA,147007,PUNJAB
339,PATIALA,140402,PUNJAB
340,JHUNJHUNU,333517,RAJASTHAN
341,MADHUBANI,847122,BIHAR
342,JHUNJHUNU,331027,RAJASTHAN
343,JHUNJHUNU,333020,RAJASTHAN
344,JHUNJHUNU,333055,RAJASTHAN
345,DHENKANAL,759151,ODISHA
346,GHAZIABAD,201001,"UTTAR PRADESH"
347,MADHUBANI,847227,BIHAR
348,MADHUBANI,847232,BIHAR
349,MADHUBANI,847421,BIHAR
350,MADHUBANI,847231,BIHAR
351,MADHUBANI,847214,BIHAR
352,NIZAMABAD,503003,TELANGANA
353,"DAKSHINA KANNADA",575009,KARNATAKA
354,LUDHIANA,141110,PUNJAB
355,BHOJPUR,802183,BIHAR
356,BHOJPUR,802313,BIHAR
357,BHOJPUR,802206,BIHAR
358,BHOJPUR,802314,BIHAR
359,BHOJPUR,802159,BIHAR
360,SAMASTIPUR,847301,BIHAR
361,AGRA,282001,"UTTAR PRADESH"
362,VIKARABAD,501106,TELANGANA
363,Y.S.R.,516213,"ANDHRA PRADESH"
364,BAKSA,781320,ASSAM
365,BAKSA,781367,ASSAM
366,BAKSA,781377,ASSAM
367,BARPETA,781371,ASSAM
368,CACHAR,788117,ASSAM
369,CACHAR,788817,ASSAM
370,CACHAR,788113,ASSAM
371,CACHAR,788802,ASSAM
372,"SABAR KANTHA",383002,GUJARAT
373,"SABAR KANTHA",383422,GUJARAT
374,JALORE,343029,RAJASTHAN
375,AHMADABAD,382430,GUJARAT
376,DARBHANGA,847104,BIHAR
377,DARBHANGA,847302,BIHAR
378,DARBHANGA,846003,BIHAR
379,MAHESANA,384330,GUJARAT
380,KONDAGAON,494230,CHHATTISGARH
381,LUDHIANA,141008,PUNJAB
382,MANCHERIAL,504204,TELANGANA
383,MANCHERIAL,504201,TELANGANA
384,"KUMURAM BHEEM ASIFABAD",504294,TELANGANA
385,MANCHERIAL,504302,TELANGANA
386,MANCHERIAL,504206,TELANGANA
387,MANCHERIAL,504207,TELANGANA
388,MANCHERIAL,504216,TELANGANA
389,MANCHERIAL,504205,TELANGANA
390,MANCHERIAL,504231,TELANGANA
391,MANCHERIAL,504214,TELANGANA
392,MANCHERIAL,504215,TELANGANA
393,MANCHERIAL,504209,TELANGANA
394,"KUMURAM BHEEM ASIFABAD",504219,TELANGANA
395,NIZAMABAD,503307,TELANGANA
396,NIZAMABAD,503165,TELANGANA
397,NIZAMABAD,503175,TELANGANA
398,NIZAMABAD,503164,TELANGANA
399,"EAST GODAVARI",533237,"ANDHRA PRADESH"
400,ANANTAPUR,515561,"ANDHRA PRADESH"
401,"WARANGAL RURAL",506342,TELANGANA
402,MAHABUBABAD,507210,TELANGANA
403,DARBHANGA,847204,BIHAR
404,DARBHANGA,847427,BIHAR
405,MAHABUBABAD,506112,TELANGANA
406,MAHABUBABAD,506135,TELANGANA
407,BILASPUR,495116,CHHATTISGARH
408,BILASPUR,495004,CHHATTISGARH
409,CACHAR,788816,ASSAM
410,Biswanath,784171,ASSAM
411,SONITPUR,784149,ASSAM
412,Y.S.R.,516193,"ANDHRA PRADESH"
413,Y.S.R.,516003,"ANDHRA PRADESH"
414,Y.S.R.,516269,"ANDHRA PRADESH"
415,Y.S.R.,516215,"ANDHRA PRADESH"
416,Y.S.R.,516002,"ANDHRA PRADESH"
417,Y.S.R.,516505,"ANDHRA PRADESH"
418,Y.S.R.,516268,"ANDHRA PRADESH"
419,Y.S.R.,516105,"ANDHRA PRADESH"
420,Y.S.R.,516501,"ANDHRA PRADESH"
421,Y.S.R.,516128,"ANDHRA PRADESH"
422,Y.S.R.,516101,"ANDHRA PRADESH"
423,KONDAGAON,494347,CHHATTISGARH
424,KONDAGAON,494237,CHHATTISGARH
425,BASTAR,494010,CHHATTISGARH
426,DANTEWADA,494552,CHHATTISGARH
427,NIZAMABAD,503308,TELANGANA
428,NIZAMABAD,503218,TELANGANA
429,NIZAMABAD,503213,TELANGANA
430,Y.S.R.,516247,"ANDHRA PRADESH"
431,Y.S.R.,516126,"ANDHRA PRADESH"
432,Y.S.R.,516152,"ANDHRA PRADESH"
433,Y.S.R.,516150,"ANDHRA PRADESH"
434,BILASPUR,495224,CHHATTISGARH
435,BILASPUR,495112,CHHATTISGARH
436,BILASPUR,495222,CHHATTISGARH
437,BILASPUR,495550,CHHATTISGARH
438,BILASPUR,495113,CHHATTISGARH
439,SAMASTIPUR,847105,BIHAR
440,ANUGUL,759147,ODISHA
441,GARHWA,822112,JHARKHAND
442,GARHWA,822129,JHARKHAND
443,GARHWA,822114,JHARKHAND
444,GARHWA,822133,JHARKHAND
445,GARHWA,822120,JHARKHAND
446,JAJAPUR,754023,ODISHA
447,JAJAPUR,754296,ODISHA
448,JAJAPUR,754024,ODISHA
449,JAJAPUR,755013,ODISHA
450,"S.A.S Nagar",160055,PUNJAB
451,JAJAPUR,755043,ODISHA
452,JAJAPUR,755014,ODISHA
453,TIRUCHIRAPPALLI,639103,"TAMIL NADU"
454,JAJAPUR,754082,ODISHA
455,Jagitial,505425,TELANGANA
456,KENDRAPARA,755016,ODISHA
457,KENDRAPARA,754217,ODISHA
458,KENDRAPARA,754219,ODISHA
459,KENDRAPARA,754218,ODISHA
460,KENDRAPARA,754253,ODISHA
461,KENDRAPARA,754239,ODISHA
462,KENDRAPARA,754208,ODISHA
463,KENDRAPARA,754292,ODISHA
464,KENDRAPARA,754222,ODISHA
465,KENDRAPARA,754240,ODISHA
466,KENDRAPARA,754210,ODISHA
467,KENDRAPARA,754289,ODISHA
468,KENDRAPARA,754214,ODISHA
469,KENDRAPARA,754248,ODISHA
470,KENDRAPARA,754244,ODISHA
471,KENDRAPARA,754216,ODISHA
472,KENDRAPARA,754223,ODISHA
473,Jagitial,505529,TELANGANA
474,Jagitial,505460,TELANGANA
475,CUTTACK,754295,ODISHA
476,CUTTACK,754032,ODISHA
477,BHOJPUR,802222,BIHAR
478,BHOJPUR,802162,BIHAR
479,"EAST GODAVARI",533232,"ANDHRA PRADESH"
480,VIZIANAGARAM,535525,"ANDHRA PRADESH"
481,VISAKHAPATANAM,535005,"ANDHRA PRADESH"
482,ANANTAPUR,515763,"ANDHRA PRADESH"
483,ANANTAPUR,515701,"ANDHRA PRADESH"
484,JAJAPUR,755017,ODISHA
485,JAJAPUR,755018,ODISHA
486,JAJAPUR,754205,ODISHA
487,JAJAPUR,755036,ODISHA
488,JAJAPUR,755027,ODISHA
489,JAJAPUR,755003,ODISHA
490,GARHWA,822121,JHARKHAND
491,Y.S.R.,516401,"ANDHRA PRADESH"
492,HANUMANGARH,335522,RAJASTHAN
493,MAHABUBABAD,506105,TELANGANA
494,MAHABUBABAD,506315,TELANGANA
495,MAHABUBABAD,506368,TELANGANA
496,"WARANGAL RURAL",506132,TELANGANA
497,MAHABUBABAD,506104,TELANGANA
498,"WARANGAL RURAL",506122,TELANGANA
499,MAHABUBABAD,506102,TELANGANA
500,"WARANGAL RURAL",506365,TELANGANA
501,"WARANGAL RURAL",506369,TELANGANA
502,"WARANGAL URBAN",506006,TELANGANA
503,"WARANGAL RURAL",506330,TELANGANA
504,JANJGIR-CHAMPA,495552,CHHATTISGARH
505,JANJGIR-CHAMPA,495559,CHHATTISGARH
506,JANJGIR-CHAMPA,495668,CHHATTISGARH
507,JANJGIR-CHAMPA,495669,CHHATTISGARH
508,ANANTAPUR,515408,"ANDHRA PRADESH"
509,ANANTAPUR,515415,"ANDHRA PRADESH"
510,ANANTAPUR,515751,"ANDHRA PRADESH"
511,"EAST GODAVARI",533107,"ANDHRA PRADESH"
512,VIZIANAGARAM,535260,"ANDHRA PRADESH"
513,VIZIANAGARAM,535126,"ANDHRA PRADESH"
514,VIZIANAGARAM,535124,"ANDHRA PRADESH"
515,Y.S.R.,516349,"ANDHRA PRADESH"
516,CHITTOOR,517194,"ANDHRA PRADESH"
517,CHITTOOR,517305,"ANDHRA PRADESH"
518,CHITTOOR,517152,"ANDHRA PRADESH"
519,CHITTOOR,517297,"ANDHRA PRADESH"
520,CHITTOOR,517213,"ANDHRA PRADESH"
521,CHITTOOR,517236,"ANDHRA PRADESH"
522,CHITTOOR,517234,"ANDHRA PRADESH"
523,DARBHANGA,847304,BIHAR
524,DARBHANGA,847121,BIHAR
525,DARBHANGA,847107,BIHAR
526,DARBHANGA,846009,BIHAR
527,DARBHANGA,847115,BIHAR
528,DARBHANGA,847306,BIHAR
529,DARBHANGA,846005,BIHAR
530,DARBHANGA,847307,BIHAR
531,DARBHANGA,847337,BIHAR
532,DARBHANGA,846007,BIHAR
533,DARBHANGA,847123,BIHAR
534,DARBHANGA,847202,BIHAR
535,AJMER,305813,RAJASTHAN
536,AJMER,305811,RAJASTHAN
537,NADIA,741123,"WEST BENGAL"
538,AJMER,305004,RAJASTHAN
539,DIBRUGARH,786003,ASSAM
540,DIBRUGARH,786184,ASSAM
541,DIBRUGARH,786004,ASSAM
542,DIBRUGARH,786101,ASSAM
543,DIBRUGARH,786602,ASSAM
544,DIBRUGARH,786614,ASSAM
545,DIBRUGARH,786001,ASSAM
546,DIBRUGARH,785676,ASSAM
547,DIBRUGARH,785675,ASSAM
548,DIBRUGARH,786010,ASSAM
549,DIBRUGARH,786012,ASSAM
550,DIBRUGARH,786610,ASSAM
551,DIBRUGARH,786621,ASSAM
552,DIBRUGARH,786611,ASSAM
553,DARBHANGA,847101,BIHAR
554,DARBHANGA,847203,BIHAR
555,"PURBI CHAMPARAN",845432,BIHAR
556,"PURBI CHAMPARAN",845433,BIHAR
557,"PURBI CHAMPARAN",845305,BIHAR
558,"PURBI CHAMPARAN",845434,BIHAR
559,"PURBI CHAMPARAN",845435,BIHAR
560,"PURBI CHAMPARAN",845456,BIHAR
561,"PURBI CHAMPARAN",845436,BIHAR
562,"PURBI CHAMPARAN",845437,BIHAR
563,MAHABUBABAD,506103,TELANGANA
564,"WARANGAL URBAN",506007,TELANGANA
565,DARBHANGA,847303,BIHAR
566,JANJGIR-CHAMPA,495663,CHHATTISGARH
567,VIKARABAD,501143,TELANGANA
568,VIKARABAD,501502,TELANGANA
569,VIKARABAD,501158,TELANGANA
570,"SPSR NELLORE",524421,"ANDHRA PRADESH"
571,"SPSR NELLORE",524126,"ANDHRA PRADESH"
572,"SPSR NELLORE",524323,"ANDHRA PRADESH"
573,"SPSR NELLORE",524129,"ANDHRA PRADESH"
574,"SPSR NELLORE",524345,"ANDHRA PRADESH"
575,"SPSR NELLORE",524121,"ANDHRA PRADESH"
576,"SPSR NELLORE",524408,"ANDHRA PRADESH"
577,"SPSR NELLORE",524313,"ANDHRA PRADESH"
578,"SPSR NELLORE",524366,"ANDHRA PRADESH"
579,"SPSR NELLORE",524303,"ANDHRA PRADESH"
580,"SPSR NELLORE",524308,"ANDHRA PRADESH"
581,"SPSR NELLORE",524302,"ANDHRA PRADESH"
582,"SPSR NELLORE",524002,"ANDHRA PRADESH"
583,"SPSR NELLORE",524311,"ANDHRA PRADESH"
584,"SPSR NELLORE",524318,"ANDHRA PRADESH"
585,"SPSR NELLORE",524319,"ANDHRA PRADESH"
586,HYDERABAD,500036,TELANGANA
587,PRAKASAM,523171,"ANDHRA PRADESH"
588,PRAKASAM,523190,"ANDHRA PRADESH"
589,PRAKASAM,523167,"ANDHRA PRADESH"
590,PRAKASAM,523181,"ANDHRA PRADESH"
591,PRAKASAM,523184,"ANDHRA PRADESH"
592,PRAKASAM,523169,"ANDHRA PRADESH"
593,PRAKASAM,523157,"ANDHRA PRADESH"
594,PRAKASAM,523185,"ANDHRA PRADESH"
595,PRAKASAM,523170,"ANDHRA PRADESH"
596,DARBHANGA,847106,BIHAR
597,"PURBI CHAMPARAN",845401,BIHAR
598,SARAN,841302,BIHAR
599,DIBRUGARH,786103,ASSAM
600,DIBRUGARH,786612,ASSAM
601,LAKHIMPUR,787033,ASSAM
602,LAKHIMPUR,784161,ASSAM
603,LAKHIMPUR,787055,ASSAM
604,NIZAMABAD,503225,TELANGANA
605,NIZAMABAD,503212,TELANGANA
606,NIZAMABAD,503219,TELANGANA
607,NIZAMABAD,503311,TELANGANA
608,NIZAMABAD,503223,TELANGANA
609,KANKER,494635,CHHATTISGARH
610,KANKER,494335,CHHATTISGARH
611,KANKER,494332,CHHATTISGARH
612,PRAKASAM,523281,"ANDHRA PRADESH"
613,PRAKASAM,523271,"ANDHRA PRADESH"
614,"RANGA REDDY",500005,TELANGANA
615,"RANGA REDDY",500113,TELANGANA
616,"RANGA REDDY",501359,TELANGANA
617,"RANGA REDDY",501218,TELANGANA
618,"RANGA REDDY",500112,TELANGANA
619,"RANGA REDDY",501506,TELANGANA
620,"RANGA REDDY",501510,TELANGANA
621,SUKMA,494111,CHHATTISGARH
622,BASTAR,494442,CHHATTISGARH
623,SUKMA,494115,CHHATTISGARH
624,KHAMMAM,507182,TELANGANA
625,KHAMMAM,507159,TELANGANA
626,RAJNANDGAON,491441,CHHATTISGARH
627,VIZIANAGARAM,535463,"ANDHRA PRADESH"
628,VIZIANAGARAM,535523,"ANDHRA PRADESH"
629,VIZIANAGARAM,503188,"ANDHRA PRADESH"
630,VIZIANAGARAM,535594,"ANDHRA PRADESH"
631,VIZIANAGARAM,535521,"ANDHRA PRADESH"
632,VIZIANAGARAM,535524,"ANDHRA PRADESH"
633,VIZIANAGARAM,535526,"ANDHRA PRADESH"
634,VIZIANAGARAM,535534,"ANDHRA PRADESH"
635,VIZIANAGARAM,535582,"ANDHRA PRADESH"
636,PANNA,488059,"MADHYA PRADESH"
637,PRAYAGRAJ,212308,"UTTAR PRADESH"
638,GUNTUR,522646,"ANDHRA PRADESH"
639,GUNTUR,522401,"ANDHRA PRADESH"
640,"EAST GODAVARI",533436,"ANDHRA PRADESH"
641,"EAST GODAVARI",533291,"ANDHRA PRADESH"
642,"EAST GODAVARI",533446,"ANDHRA PRADESH"
643,"EAST GODAVARI",533408,"ANDHRA PRADESH"
644,"EAST GODAVARI",533401,"ANDHRA PRADESH"
645,"RANGA REDDY",501508,TELANGANA
646,"RANGA REDDY",501512,TELANGANA
647,"RANGA REDDY",501511,TELANGANA
648,"MEDCHAL MALKAJGIRI",500039,TELANGANA
649,DIBRUGARH,786008,ASSAM
650,DIBRUGARH,786191,ASSAM
651,BIJAPUR,494448,CHHATTISGARH
